short_number,name,position,attack_points,attack_total,block_points,serve_points,serve_total,receive_success,receive_total,dig_success,dig_total,set_success,set_total,points
3,呂玟君,攔中,2,5,0,2,13,0,0,0,3,0,0,4
5,林良黛,長攻,5,21,1,2,12,6,15,3,13,0,0,8
6,翁梓勻,攔中,0,1,1,0,4,0,0,0,0,0,0,1
7,林書荷,長攻,6,17,1,0,13,1,6,2,6,0,0,7
9,甘可慧,攔中,9,17,3,0,5,0,0,1,4,0,0,12
11,BIA,對角,0,0,0,0,0,0,0,0,0,0,0,0
12,廖苡任,舉球,0,0,0,0,5,0,0,2,8,11,36,0
22,陳莉鈞,長攻,0,0,0,0,0,0,0,0,1,0,0,0
23,陳莉鎔,舉球,1,2,0,1,6,0,0,1,2,14,28,2
24,王育文,攔中,0,1,0,0,2,0,0,0,0,0,0,0
69,陳潔,對角,7,17,0,2,9,0,8,2,6,0,0,9
77,吳芳妤,長攻,1,1,0,1,4,0,1,0,0,0,0,2
79,丁佩瑩,自由,0,0,0,0,0,0,0,2,6,0,0,0
99,邱詩晴,自由,0,0,0,0,0,6,10,5,13,0,0,0
2,陳彥臻,自由,0,0,0,0,0,3,7,2,9,0,0,0
3,許芳閩,對角,9,37,0,1,8,5,11,4,14,0,0,10
4,簡翊雯,對角,3,11,0,0,6,3,14,1,3,0,0,3
5,李思依,長攻,0,1,0,0,0,0,1,2,2,0,0,0
6,潘慧勳,長攻,0,0,0,0,0,0,0,0,0,0,0,0
7,陳思妤,長攻,13,26,0,0,8,2,10,2,12,0,0,13
8,吳文亘,攔中,1,3,0,0,10,0,0,0,4,0,0,1
9,江昀庭,自由,0,0,0,0,0,3,11,1,6,0,0,0
10,吳苡綾,攔中,0,0,0,0,0,0,0,0,0,0,0,0
11,吳沛緹,長攻,3,7,0,1,5,1,14,1,3,0,0,4
12,戴君芳,舉球,0,0,0,0,0,0,0,0,0,0,0,0
13,張芸甄,舉球,0,1,0,0,3,0,0,0,5,0,37,0
15,林采臻,攔中,4,14,0,0,6,0,1,0,1,0,0,4
16,張家綺,攔中,0,0,0,0,0,0,0,0,0,0,0,0
18,江辰翊,舉球,0,1,0,0,4,0,0,0,5,9,45,0
